,Title,US_Gross,Worldwide_Gross,Production_Budget,Distributor,Release_Year
0,The Land Girls,146083.0,146083.0,8000000.0,Gramercy,1998
4,Slam,1009819.0,1087521.0,1000000.0,Trimark,1998
5,Mississippi Mermaid,24551.0,2624551.0,1600000.0,MGM,1999
7,Foolish,6026908.0,6026908.0,1600000.0,Artisan,1999
20,Twelve Monkeys,57141459.0,168841459.0,29000000.0,Universal,1995
23,Chacun sa nuit,18435.0,18435.0,1900000.0,Strand,2007
27,24 7: Twenty Four Seven,72544.0,72544.0,2000000.0,October Films,1998
30,3 Men and a Baby,167780960.0,167780960.0,15000000.0,Walt Disney Pictures,1987
31,3 Ninjas Kick Back,11744960.0,11744960.0,20000000.0,Walt Disney Pictures,1994
32,Forty Shades of Blue,75828.0,172569.0,1500000.0,Vitagraph Films,2005
34,Four Rooms,4301000.0,4301000.0,4000000.0,Miramax,1995
35,The Four Seasons,42488161.0,42488161.0,6500000.0,Universal,1981
36,Four Weddings and a Funeral,52700832.0,242895809.0,4500000.0,Gramercy,1994
39,Nine 1/2 Weeks,6734844.0,6734844.0,18000000.0,MGM,1986
40,AstÈrix aux Jeux Olympiques,999811.0,132999811.0,113500000.0,Alliance,2008
41,The Abyss,54243125.0,54243125.0,70000000.0,20th Century Fox,1989
42,Action Jackson,20257000.0,20257000.0,7000000.0,Lorimar Motion Pictures,1988
43,Ace Ventura: Pet Detective,72217396.0,107217396.0,12000000.0,Warner Bros.,1994
44,Ace Ventura: When Nature Calls,108360063.0,212400000.0,30000000.0,Warner Bros.,1995
45,April Fool's Day,12947763.0,12947763.0,5000000.0,Paramount Pictures,1986
46,Among Giants,64359.0,64359.0,4000000.0,Fox Searchlight,1999
49,The Princess and the Cobbler,669276.0,669276.0,24000000.0,Miramax,1995
52,Alive,36299670.0,36299670.0,32000000.0,Walt Disney Pictures,1993
53,Amen,274299.0,274299.0,14000000.0,Kino International,2003
56,The American President,60022813.0,107822813.0,62000000.0,Sony Pictures,1995
59,The Adventures of Huck Finn,24103594.0,24103594.0,6500000.0,Walt Disney Pictures,1993
62,Arachnophobia,53208180.0,53208180.0,31000000.0,Walt Disney Pictures,1990
71,Babe,63658910.0,246100000.0,30000000.0,Universal,1995
72,Boynton Beach Club,3127472.0,3127472.0,2900000.0,Wingate Distribution,2006
73,Baby's Day Out,16581575.0,16581575.0,50000000.0,20th Century Fox,1994
74,Bound by Honor,4496583.0,4496583.0,35000000.0,Walt Disney Pictures,1993
75,"Bon Cop, Bad Cop",12671300.0,12671300.0,8000000.0,Alliance,2006
76,Back to the Future,210609762.0,381109762.0,19000000.0,Universal,1985
77,Back to the Future Part II,118450002.0,332000000.0,40000000.0,Universal,1989
78,Back to the Future Part III,87666629.0,243700000.0,40000000.0,Universal,1990
80,Bad Boys,65647413.0,141247413.0,23000000.0,Sony Pictures,1995
81,Body Double,8801940.0,8801940.0,10000000.0,Sony/Columbia,1984
83,Beastmaster 2: Through the Portal of Time,773490.0,773490.0,6000000.0,New Line,1991
84,The Beastmaster,10751126.0,10751126.0,5000000.0,MGM,1982
88,Before Sunrise,5274005.0,5274005.0,2500000.0,Sony Pictures,1995
89,Beauty and the Beast,171340294.0,403476931.0,20000000.0,Walt Disney Pictures,1991
91,The Ballad of Gregorio Cortez,909000.0,909000.0,1305000.0,Embassy,1983
95,Bogus,4357406.0,4357406.0,32000000.0,Warner Bros.,1996
96,Beverly Hills Cop,234760478.0,316300000.0,15000000.0,Paramount Pictures,1984
97,Beverly Hills Cop II,153665036.0,276665036.0,20000000.0,Paramount Pictures,1987
98,Beverly Hills Cop III,42586861.0,119180938.0,50000000.0,Paramount Pictures,1994
101,Big,114968774.0,151668774.0,18000000.0,20th Century Fox,1988
103,Boyz n the Hood,56190094.0,56190094.0,6500000.0,Sony Pictures,1991
104,"The Book of Mormon Movie, Volume 1: The Journey",1660865.0,1660865.0,2000000.0,Distributor Unknown,2003
106,"Bright Lights, Big City",16118077.0,16118077.0,25000000.0,United Artists,1988
108,The Blue Butterfly,1610194.0,1610194.0,10400000.0,Alliance,2004
109,Blade Runner,32656328.0,33139618.0,28000000.0,Warner Bros.,1982
110,Bloodsport,11806119.0,11806119.0,1500000.0,Cannon,1988
111,The Blues Brothers,57229890.0,57229890.0,27000000.0,Universal,1980
112,Blow Out,13747234.0,13747234.0,18000000.0,Filmways Pictures,1981
113,De battre mon coeur s'est arrÍtÈ,1023424.0,8589831.0,5500000.0,WellSpring,2005
116,Bound,3802260.0,6300000.0,4500000.0,Gramercy,1996
119,Bill & Ted's Bogus Journey,37537675.0,37537675.0,20000000.0,Orion Pictures,1991
122,The Blood of Heroes,882290.0,882290.0,7700000.0,New Line,1990
124,Boomerang,70052444.0,131052444.0,42000000.0,Paramount Pictures,1992
126,Born on the Fourth of July,70001698.0,70001698.0,14000000.0,Universal,1989
127,Basquiat,2962051.0,2962051.0,3000000.0,Miramax,1996
128,Black Rain,45892212.0,45892212.0,30000000.0,Paramount Pictures,1989
129,Bottle Rocket,407488.0,407488.0,5000000.0,Sony Pictures,1996
130,Braindead,242623.0,242623.0,3000000.0,Trimark,1993
131,The Bridges of Madison County,71516617.0,175516617.0,22000000.0,Warner Bros.,1995
133,Dracula,82522790.0,215862692.0,40000000.0,Sony Pictures,1992
134,Broken Arrow,70645997.0,148345997.0,65000000.0,20th Century Fox,1996
135,Brainstorm,8921050.0,8921050.0,15000000.0,MGM,1983
136,Braveheart,75545647.0,209000000.0,72000000.0,Paramount Pictures,1995
138,Brazil,9929135.0,9929135.0,15000000.0,Universal,1985
